2021-10-02 03:15:57,381 INFO: Opening input stream.
2021-10-02 03:16:01,355 INFO: ('2021-10-02T08:16:01.355406', 1136)
2021-10-02 03:16:01,386 INFO: ('2021-10-02T08:16:01.386103', 1136)
2021-10-02 03:16:01,405 INFO: ('2021-10-02T08:16:01.405345', 1136)
2021-10-02 03:16:01,435 INFO: ('2021-10-02T08:16:01.435621', 1136)
2021-10-02 03:16:01,466 INFO: ('2021-10-02T08:16:01.466038', 1136)
2021-10-02 03:16:01,486 INFO: ('2021-10-02T08:16:01.486018', 1136)
2021-10-02 03:16:01,515 INFO: ('2021-10-02T08:16:01.515445', 1136)
2021-10-02 03:16:01,535 INFO: ('2021-10-02T08:16:01.535642', 1136)
2021-10-02 03:16:01,566 INFO: ('2021-10-02T08:16:01.565155', 1136)
2021-10-02 03:16:01,585 INFO: ('2021-10-02T08:16:01.585479', 1136)
2021-10-02 03:16:01,615 INFO: ('2021-10-02T08:16:01.615436', 1136)
2021-10-02 03:16:01,645 INFO: ('2021-10-02T08:16:01.645759', 1136)
2021-10-02 03:16:01,665 INFO: ('2021-10-02T08:16:01.665727', 1136)
2021-10-02 03:16:01,695 INFO: ('2021-10-02T08:16:01.695297', 1136)
2021-10-02 03:16:01,715 INFO: ('2021-10-02T08:16:01.714829', 1136)
2021-10-02 03:16:01,745 INFO: ('2021-10-02T08:16:01.745459', 1136)
2021-10-02 03:16:01,764 INFO: ('2021-10-02T08:16:01.764909', 1136)
2021-10-02 03:16:01,794 INFO: ('2021-10-02T08:16:01.794896', 1136)
2021-10-02 03:16:01,825 INFO: ('2021-10-02T08:16:01.825124', 1136)
2021-10-02 03:16:01,845 INFO: ('2021-10-02T08:16:01.845700', 1136)
2021-10-02 03:16:01,876 INFO: ('2021-10-02T08:16:01.876729', 1136)
2021-10-02 03:16:01,896 INFO: ('2021-10-02T08:16:01.896915', 1136)
2021-10-02 03:16:01,926 INFO: ('2021-10-02T08:16:01.926486', 1136)
2021-10-02 03:16:01,955 INFO: ('2021-10-02T08:16:01.955673', 1136)
2021-10-02 03:16:01,976 INFO: ('2021-10-02T08:16:01.976060', 1136)
2021-10-02 03:16:02,005 INFO: ('2021-10-02T08:16:02.005271', 1136)
2021-10-02 03:16:02,025 INFO: ('2021-10-02T08:16:02.025577', 1136)
2021-10-02 03:16:02,055 INFO: ('2021-10-02T08:16:02.055230', 1136)
2021-10-02 03:16:02,075 INFO: ('2021-10-02T08:16:02.075946', 1136)
2021-10-02 03:18:26,085 INFO: Opening input stream.
2021-10-02 03:18:26,119 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,149 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,169 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,199 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,219 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,249 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,279 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,299 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,329 INFO: ('2021100208%M', 1136)
2021-10-02 03:18:26,349 INFO: ('2021100208%M', 1136)
2021-10-02 03:19:38,307 INFO: Opening input stream.
2021-10-02 03:19:38,341 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,370 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,390 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,420 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,440 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,470 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,500 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,521 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,550 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,570 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,600 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,621 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,650 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,680 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,701 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,730 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,750 INFO: ('190802102021', 1136)
2021-10-02 03:19:38,782 INFO: ('190802102021', 1136)
2021-10-02 03:43:09,936 INFO: Opening input stream.
2021-10-02 03:44:20,699 INFO: Opening input stream.
2021-10-02 03:44:33,447 INFO: Opening input stream.
2021-10-02 03:45:27,719 INFO: Opening input stream.
2021-10-02 03:46:25,832 INFO: Opening input stream.
2021-10-02 03:51:57,912 INFO: Opening input stream.
2021-10-02 03:52:19,947 INFO: Opening input stream.
2021-10-02 03:53:48,480 INFO: Opening input stream.
2021-10-02 03:54:11,604 INFO: Opening input stream.
2021-10-02 03:54:41,416 INFO: Opening input stream.
2021-10-02 03:56:00,995 INFO: Opening input stream.
2021-10-02 03:56:06,033 INFO: Opening input stream.
2021-10-02 03:58:55,971 INFO: Opening input stream.
2021-10-02 04:00:36,520 INFO: Opening input stream.
2021-10-02 04:00:41,105 INFO: Opening input stream.
2021-10-02 04:01:25,007 INFO: Opening input stream.
2021-10-02 04:01:29,867 INFO: Opening input stream.
2021-10-02 04:04:04,986 INFO: Opening input stream.
2021-10-02 04:04:09,128 INFO: Opening input stream.
2021-10-02 04:05:40,386 INFO: Opening input stream.
2021-10-02 04:06:09,524 INFO: Opening input stream.
2021-10-02 04:26:15,548 INFO: Opening input stream.
2021-10-02 04:26:34,118 INFO: Opening input stream.
2021-10-02 04:26:51,054 INFO: Opening input stream.
2021-10-02 04:27:04,283 INFO: Opening input stream.
2021-10-02 04:27:56,520 INFO: Opening input stream.
